result,time,hand,states,path
success,6757,AASUVX,460405,75
fail,137,FVWXZZ,10068,
success,1625,FFGUXZ,128001,65
success,9621,CDFLWX,659917,68
success,1978,CLLSXZ,149493,67
fail,281,LLOUWX,21037,
success,610,ALOQRS,45174,73
fail,1347,AADOXX,80496,
success,1391,ADFUXZ,97528,71
success,71041,CDFOVZ,4934740,67
fail,30,KLOVVW,2192,
success,14471,OPSTXZ,1091823,70
success,7547,LOPRVX,504265,63
success,30977,AFRSVZ,2460250,75
success,111966,ADOPTW,8350310,58
success,53903,DDGOOW,4006155,71
success,309,ABGORX,18275,69
fail,13,LSTTUV,1053,
success,8123,BDGLOR,686045,63
success,97172,LOPTXZ,7141216,67
fail,1018,FLQUXX,66670,
success,16993,KPTUUX,1358905,66
success,1167,KOUWZZ,89482,58
success,499,DOPSTV,42483,63
success,37985,DOTTUW,2650529,65
exhaust,126957,CFKLPV,,
success,45588,ALLRVZ,3344306,68
fail,90,AFKLXX,6318,
success,14992,FFGKRV,930164,70
success,4584,BDLRWX,333990,68
success,1004,DRVXXZ,79776,75
fail,95,AFOTVV,6411,
success,2993,GKLTUX,217871,70
success,1392,ALRWXZ,111403,70
success,858,DFLPRW,66716,72
success,27040,CDLPTT,1910645,56
exhaust,138423,GORRTV,,
success,465,FKOSVX,34574,69
success,24875,ADOVXX,1522368,70
exhaust,137109,CDFGZZ,,
fail,405,DLSTWX,30535,
fail,7,KLLSXZ,520,
success,7597,DDKLPR,452697,74
success,996,LQRTXZ,77622,69
success,192,CGLLOX,13929,63
success,4930,CORSUX,409629,64
success,30726,BPRUZZ,2345354,72
success,57059,GRRUXX,3465262,71
success,15470,AOTUUV,1096729,76
success,3922,ADLPRT,320531,70
success,10321,AFORTV,773554,77
success,13328,COPRVX,957073,70
success,16101,AFPWXZ,1221156,74
success,30738,BGOSVV,2486444,76
success,50711,CFPQSV,4210464,70
exhaust,129709,ADOQUV,,
success,15512,AFFORW,1138561,64
fail,5,FFLOSV,461,
success,425,ABLLQR,31606,70
success,16744,ORTTWX,1026817,68
success,12930,BKOQUV,966233,71
success,5608,AFOPTX,430131,76
success,6189,FORTTW,496937,74
success,8619,BLRTWZ,601439,61
success,26256,FPQRRR,2011118,74
success,68041,DORRXZ,3379902,76
fail,396,DDFTXZ,37633,
exhaust,127309,GOVXZZ,,
success,20350,CDOTTZ,1415666,68
fail,9,DFSTTZ,696,
success,27108,FRTTVW,2045385,73
success,17302,AFGSVZ,1315020,62
success,33734,FOPRXZ,2583826,66
success,679,CDFUVW,52427,64
success,14536,DGLQXZ,1047934,73
success,14781,KOTTVZ,1197957,71
fail,1154,CLOUZZ,90579,
success,231,FRUVVX,17050,72
fail,891,ADSTXZ,65204,
success,34440,CFLOST,3027962,69
success,12133,CDGKRZ,961680,72
success,148,FLRVXZ,9472,62
success,618,KLOQRZ,51379,72
exhaust,137554,COORXZ,,
success,33060,CDKRSZ,2312839,73
success,14176,DLQTUV,1039339,71
success,2176,CDDTVV,191749,64
success,469,DGRSVX,33232,64
fail,171,ADDTXX,11916,
success,7688,FOPQXZ,661279,78
success,5660,ACOSTT,515087,68
success,31916,ABKRTX,2253156,78
success,5362,LOTUWX,357344,71
success,310,ALOOVX,23439,73
success,29716,DPSUZZ,2130396,69
fail,37,ADDOSV,2964,
success,3711,LRTXZZ,295164,58
success,4238,AOPRTU,327026,66
success,3263,CFORUX,256202,69
success,26039,ADKLPU,1745154,59
fail,2145,BDVVXZ,170987,
success,35040,ORRVWZ,2732839,67
success,12794,FFGKRS,1048325,71
success,49027,AFRSTV,3712594,69
success,4045,DLOUVW,305842,64
success,56317,DDPQRV,3842601,72
fail,104,AFKOTV,7030,
success,48489,BDFFOR,2850809,64
fail,2528,ADFFKX,200772,
success,251,FRRVVX,22445,72
success,13060,DDOPTX,977692,73
success,3769,ADFRVX,309298,70
success,1075,BDRSVX,82000,68
exhaust,138950,BTTUVZ,,
success,26182,BDFRVZ,1938542,67
success,1973,DOSVWX,144776,64
success,2275,DKLRVV,149859,64
success,42404,BPTWZZ,3191271,72
success,11315,FLRTXX,843291,60
success,6042,CDFORT,436356,70
success,3053,AFLPWX,205024,68
success,337,LLPTWX,25946,62
success,5495,BCFTVV,480192,72
success,2440,DOVWXZ,183676,71
success,1881,LQRRWZ,138767,73
success,4034,DFGRUX,284235,69
success,10584,OQRRRS,576894,67
success,654,OSVVWX,49431,76
fail,42,FKOTTW,3102,
fail,1,ABFFKW,104,
exhaust,148334,AKPSVZ,,
success,5331,AFOPTV,340068,66
fail,2,BLQWWZ,174,
success,7753,ADGLVZ,629575,72
success,14472,LTUVVX,987700,73
fail,459,DDLOXX,34108,
success,4581,ACOPTZ,376327,81
exhaust,126252,GOPQVW,,
success,9288,FORSTW,696117,68
success,22699,DKLOVZ,1649390,65
fail,8050,DKTVVX,501057,
success,1022,DLORTV,68724,72
fail,100,ADLLSX,8356,
success,10105,CQRRTX,742354,76
success,42536,ACFRZZ,2794945,64
success,4334,ABOPWZ,345479,70
success,4916,FLPTVZ,384216,73
success,1461,CRTVVX,110627,68
success,10080,AFFGKL,663743,61
success,35526,BCRTTZ,2885716,66
success,6787,ALOPTX,432714,74
success,17317,FKRTUX,1405799,74
success,10601,LOQRRW,540383,66
success,48791,DGQRTV,3476511,75
success,699,AFKLOR,45285,72
success,2838,AFRVWZ,226326,69
